01DFG,01,D,FG,-173.5247471697,-66.2710198877,32701
01DFH,01,D,FH,-173.6445911808,-65.3759234049,32701
01DFJ,01,D,FJ,-173.7557537194,-64.4800703249,32701
01ECK,01,E,CK,-179.3940668703,-63.5978697451,32701
01ECL,01,E,CL,-179.3674222246,-62.7007212848,32701
01ECM,01,E,CM,-179.3425050543,-61.8029395437,32701
01ECN,01,E,CN,-179.3191742086,-60.90505921079999,32701
01ECP,01,E,CP,-179.2973032807,-60.0076154596,32701
01ECQ,01,E,CQ,-179.2767428713,-59.1095276218,32701
01ECR,01,E,CR,-179.2573970358,-58.2113312602,32701
01ECS,01,E,CS,-179.2391787635,-57.3135624056,32701
01ECT,01,E,CT,-179.2219789003,-56.4151406242,32701
01EDK,01,E,DK,-177.9262713435,-63.6146813733,32701
01EDL,01,E,DL,-177.8974905714,-62.7177959675,32701
01EDM,01,E,DM,-177.8706347055,-61.8202414522,32701
01EDN,01,E,DN,-177.8455398744,-60.9225549788,32701
01EDP,01,E,DP,-177.8220600584,-60.02527396719999,32701
01EDQ,01,E,DQ,-177.8000263259,-59.12732002280001,32701
01EDR,01,E,DR,-177.7793285726,-58.2292304613,32701
01EDS,01,E,DS,-177.7598673788,-57.3315429416,32701
01EDT,01,E,DT,-177.7415207021,-56.4331786307,32701
01EEK,01,E,EK,-175.8739065594,-63.6133356518,32701
01EEL,01,E,EL,-175.9088933581,-62.7165006095,32701
01EEM,01,E,EM,-175.9415404179,-61.81899359280001,32701
01EEN,01,E,EN,-175.9720468941,-60.9213519865,32701
01EEP,01,E,EP,-176.0005902511,-60.0241134188,32701
01EEQ,01,E,EQ,-176.0273758147,-59.12619975310001,32701
01EER,01,E,ER,-176.0525374049,-58.2281484629,32701
01EES,01,E,ES,-176.0761958571,-57.33049735,32701
01EET,01,E,ET,-176.0984995139,-56.4321677722,32701
01EFK,01,E,FK,-173.8590519628,-63.58400628609999,32701
01EFL,01,E,FL,-173.9552046344,-62.6882760793,32701
01EFM,01,E,FM,-174.0450025046,-61.7918103498,32701
01EFN,01,E,FN,-174.128977939,-60.8951517117,32701
01EFP,01,E,FP,-174.207606302,-59.9988424659,32701
01EFQ,01,E,FQ,-174.2814420927,-59.1018102072,32701
01EFR,01,E,FR,-174.3508447569,-58.2045959403,32701
01EFS,01,E,FS,-174.4161394318,-57.3077406603,32701
01EFT,01,E,FT,-174.4777285358,-56.41016995319999,32701
01FBA,01,F,BA,179.202558478,-53.6812731177,32701
01FBB,01,F,BB,179.2509522219,-52.7831723943,32701
01FBC,01,F,BC,179.2967985297,-51.8854688977,32701
01FBD,01,F,BD,179.3403245761,-50.98708472,32701
01FBE,01,F,BE,179.3816586554,-50.08855847230001,32701
01FBF,01,F,BF,179.4209203907,-49.1904291649,32701
01FBG,01,F,BG,179.4582870088,-48.2916185519,32701
01FCA,01,F,CA,-179.1758207472,-53.71974976,32701
01FCB,01,F,CB,-179.1620296689,-52.8213983636,32701
01FCC,01,F,CC,-179.1189682082,-51.92342010050001,32701
01FCD,01,F,CD,-179.0774416675,-51.0247378285,32701
01FCE,01,F,CE,-179.0380014581,-50.1258913194,32701
01FCF,01,F,CF,-179.0005342689,-49.2274207154,32701
01FCG,01,F,CG,-178.964871723,-48.32824820959999,32701
01FCU,01,F,CU,-179.2057303632,-55.5166022686,32701
01FCV,01,F,CV,-179.1903716397,-54.6184841559,32701
01FDA,01,F,DA,-177.6924105229,-53.7377858777,32701
01FDB,01,F,DB,-177.6777722169,-52.8388589679,32701
01FDC,01,F,DC,-177.6639076139,-51.9403284618,32701
01FDD,01,F,DD,-177.650747466,-51.0411149442,32701
01FDE,01,F,DE,-177.6382525127,-50.1417570569,32701
01FDF,01,F,DF,-177.6263861804,-49.2427938913,32701
01FDG,01,F,DG,-177.6150945469,-48.3431458223,32701
01FDU,01,F,DU,-177.7242122925,-55.53467518509999,32701
01FDV,01,F,DV,-177.7078725002,-54.6365706538,32701
01FEA,01,F,EA,-176.1582021211,-53.7368702817,32701
01FEB,01,F,EB,-176.1759978356,-52.8379725193,32701
01FEC,01,F,EC,-176.1928530108,-51.93946999229999,32701
01FED,01,F,ED,-176.2088518227,-51.0402833996,32701
01FEE,01,F,EE,-176.2240419933,-50.14095143909999,32701
01FEF,01,F,EF,-176.2384679794,-49.2420132546,32701
01FEG,01,F,EG,-176.2521953288,-48.3423893121,32701
01FEU,01,F,EU,-176.1195410527,-55.5336974958,32701
01FEV,01,F,EV,-176.1394051304,-54.6356246702,32701
01FFA,01,F,FA,-174.6427483025,-53.7169519238,32701
01FFB,01,F,FB,-174.6919797471,-52.8186898594,32701
01FFC,01,F,FC,-174.7386272541,-51.92079730610001,32701
01FFD,01,F,FD,-174.7829207295,-51.0221974757,32701
01FFE,01,F,FE,-174.8249896183,-50.1234303162,32701
01FFF,01,F,FF,-174.8649546561,-49.22503613389999,32701
01FFG,01,F,FG,-174.9029953335,-48.32593740470001,32701
01FFU,01,F,FU,-174.5358619793,-55.51242403399999,32701
01FFV,01,F,FV,-174.5907683912,-54.61504329,32701
01FGA,01,F,GA,-173.1309494327,-53.67794017030001,32701
01FGB,01,F,GB,-173.211406347,-52.78092317779999,32701
01FGC,01,F,GC,-173.2876547624,-51.88422523,32701
01FGD,01,F,GD,-173.360068024,-50.9867744655,32701
01FGE,01,F,GE,-173.4288556278,-50.08911328610001,32701
01FGF,01,F,GF,-173.4942131098,-49.1917842796,32701
01FGG,01,F,GG,-173.5564323604,-48.29371386279999,32701
01GBH,01,G,BH,179.4938533718,-47.3926656977,32701
01GBJ,01,G,BJ,179.5277086918,-46.4941100878,32701
01GBK,01,G,BK,179.5599936379,-45.5948732032,32701
01GBL,01,G,BL,179.5907793875,-44.6954946204,32701
01GBM,01,G,BM,179.6201334272,-43.7965143504,32701
01GBN,01,G,BN,179.6481690538,-42.896853649,32701
01GBP,01,G,BP,-179.6400164572,-42.0135597408,32701
01GBQ,01,G,BQ,-179.62456739,-41.1136769846,32701
01GBR,01,G,BR,-179.6097917302,-40.2131270985,32701
01GCH,01,G,CH,-178.9309239608,-47.4289138511,32701
01GCJ,01,G,CJ,-178.8986064494,-46.5299581015,32701
01GCK,01,G,CK,-178.8677854684,-45.6303026423,32701
01GCL,01,G,CL,-178.8383935735,-44.7304879221,32701
01GCM,01,G,CM,-178.8103667962,-43.831054828,32701
01GCN,01,G,CN,-178.7835973807,-42.9309246363,32701
01GCP,01,G,CP,-178.758034071,-42.0306382759,32701
01GCQ,01,G,CQ,-178.7336278644,-41.1307371282,32701
01GCR,01,G,CR,-178.7102908599,-40.2301421408,32701
01GDH,01,G,DH,-177.6043486359,-47.4433520737,32701
01GDJ,01,G,DJ,-177.5941212184,-46.5439523344,32701
01GDK,01,G,DK,-177.5843695591,-45.6438668005,32701
01GDL,01,G,DL,-177.575071949,-44.7436353125,32701
01GDM,01,G,DM,-177.5662078189,-43.843798184,32701
01GDN,01,G,DN,-177.557742791,-42.943275455,32701
01GDP,01,G,DP,-177.5496603921,-42.0426076034,32701
01GDQ,01,G,DQ,-177.5419448887,-41.1423355827,32701
01GDR,01,G,DR,-177.5345682779,-40.2413792939,32701
01GEH,01,G,EH,-176.2652592638,-47.4426188767,32701
01GEJ,01,G,EJ,-176.2776928829,-46.5432416759,32701
01GEK,01,G,EK,-176.2895481363,-45.6431779803,32701
