01M,DP,-177.452059,-5.880206
01M,EP,-176.547941,-5.880206
01M,FP,-175.644668,-5.878802
01M,GP,-174.741738,-5.875939
01M,HP,-174.146468,-5.873282
01M,BQ,-179.254846,-4.972023
01M,CQ,-178.353257,-4.974435
01M,DQ,-177.451329,-4.975613
01M,EQ,-176.548671,-4.975613
01M,FQ,-175.646742,-4.974435
01M,GQ,-174.745154,-4.972023
01M,HQ,-174.148312,-4.969756
01M,BR,-179.251996,-4.068080
01M,CR,-178.351524,-4.070042
01M,DR,-177.450713,-4.070996
01M,ER,-176.549287,-4.070996
01M,FR,-175.648476,-4.070042
01M,GR,-174.748004,-4.068080
01M,HR,-174.149818,-4.066207
01M,BS,-179.249710,-3.164116
01M,CS,-178.350128,-3.165629
01M,DS,-177.450210,-3.166357
01M,ES,-176.549790,-3.166357
01M,FS,-175.649872,-3.165629
01M,GS,-174.750290,-3.164116
01M,HS,-174.150987,-3.162639
01M,BT,-179.247984,-2.260135
01M,CT,-178.349070,-2.261199
01M,DT,-177.449820,-2.261703
01M,ET,-176.550180,-2.261703
01M,FT,-175.650930,-2.261199
01M,GT,-174.752016,-2.260135
01M,HT,-174.151822,-2.259056
01M,BU,-179.246816,-1.356142
01M,CU,-178.348346,-1.356758
01M,DU,-177.449541,-1.357038
01M,EU,-176.550458,-1.357038
01M,FU,-175.651654,-1.356758
01M,GU,-174.753184,-1.356142
01M,HU,-174.152322,-1.355462
01M,BV,-179.246205,-0.452141
01M,CV,-178.347956,-0.452309
01M,DV,-177.449374,-0.452365
01M,EV,-176.550625,-0.452365
01M,FV,-175.652043,-0.452309
01M,GV,-174.753795,-0.452141
01M,HV,-174.152488,-0.451862
01N,BA,-179.246205,0.452141
01N,CA,-178.347956,0.452309
01N,DA,-177.449374,0.452365
01N,EA,-176.550625,0.452365
01N,FA,-175.652043,0.452309
01N,GA,-174.753795,0.452141
01N,HA,-174.152488,0.451862
01N,BB,-179.246816,1.356142
01N,CB,-178.348346,1.356758
01N,DB,-177.449541,1.357038
01N,EB,-176.550458,1.357038
01N,FB,-175.651654,1.356758
01N,GB,-174.753184,1.356142
01N,HB,-174.152322,1.355462
01N,BC,-179.247984,2.260135
01N,CC,-178.349070,2.261199
01N,DC,-177.449820,2.261703
01N,EC,-176.550180,2.261703
01N,FC,-175.650930,2.261199
01N,GC,-174.752016,2.260135
01N,HC,-174.151822,2.259056
01N,BD,-179.249710,3.164116
01N,CD,-178.350128,3.165629
01N,DD,-177.450210,3.166357
01N,ED,-176.549790,3.166357
01N,FD,-175.649872,3.165629
01N,GD,-174.750290,3.164116
01N,HD,-174.150987,3.162639
01N,BE,-179.251996,4.068080
01N,CE,-178.351524,4.070042
01N,DE,-177.450713,4.070996
01N,EE,-176.549287,4.070996
01N,FE,-175.648476,4.070042
01N,GE,-174.748004,4.068080
01N,HE,-174.149818,4.066207
01N,BF,-179.254846,4.972023
01N,CF,-178.353257,4.974435
01N,DF,-177.451329,4.975613
01N,EF,-176.548671,4.975613
01N,FF,-175.646742,4.974435
01N,GF,-174.745154,4.972023
01N,HF,-174.148312,4.969756
01N,BG,-179.258262,5.875939
01N,CG,-178.355331,5.878802
01N,DG,-177.452059,5.880206
01N,EG,-176.547941,5.880206
01N,FG,-175.644668,5.878802
01N,GG,-174.741738,5.875939
01N,HG,-174.146468,5.873282
01N,BH,-179.262248,6.779823
01N,CH,-178.357748,6.783139
01N,DH,-177.452903,6.784770
01N,EH,-176.547097,6.784770
01N,FH,-175.642251,6.783139
01N,GH,-174.737751,6.779823
01N,HH,-174.144282,6.776780
01N,BJ,-179.266366,7.614683
01N,CJ,-178.360204,7.616932
01N,DJ,-177.453706,7.618282
01N,EJ,-176.546295,7.618282
01N,FJ,-175.639796,7.616932
01N,GJ,-174.733634,7.614683
01N,HJ,-174.141754,7.613794
01R,BG,-179.461805,24.200291
01R,CG,-178.477697,24.205108
01R,DG,-177.493148,24.206714
01R,EG,-176.506852,24.206714
01R,FG,-175.522303,24.205108
01R,GG,-174.538194,24.200291
01R,HG,-174.025673,24.192269
01R,BH,-179.475646,24.843853
01R,CH,-178.486457,24.856893
01R,DH,-177.496743,24.863384
01R,EH,-176.503257,24.863384
01R,FH,-175.513542,24.856893
01R,GH,-174.524354,24.843853
01R,HH,-174.021242,24.835077
01R,CJ,-178.497591,25.759625
01R,DJ,-177.500516,25.766387
01R,EJ,-176.499485,25.766387
01R,FJ,-175.502409,25.759625
01R,GJ,-174.506691,25.746042
01R,HJ,-174.010479,25.705312
01R,CK,-178.509268,26.662240
01R,DK,-177.504471,26.669277
01R,EK,-176.495529,26.669277
01R,FK,-175.490731,26.662240
01R,GK,-174.499152,26.648124
01R,CL,-178.521507,27.564735
01R,DL,-177.508616,27.572050
01R,EL,-176.491383,27.572050
01R,FL,-175.478492,27.564735
01R,GL,-174.491247,27.550315
01R,CM,-178.534329,28.467107
01R,DM,-177.512958,28.474706
01R,EM,-176.487042,28.474706
01R,FM,-175.465671,28.467107
01R,GM,-174.482963,28.452399
01R,CN,-178.547753,29.369353
01R,DN,-177.517503,29.377240
01R,EN,-176.482497,29.377240
01R,FN,-175.452247,29.369353
01R,GN,-174.474287,29.354376
01R,CP,-178.561803,30.271471
01R,DP,-177.522260,30.279651
01R,EP,-176.477740,30.279651
01R,FP,-175.438197,30.271471
01R,GP,-174.465205,30.256241
01R,CQ,-178.576502,31.173458
01R,DQ,-177.527236,31.181936
01R,EQ,-176.472764,31.181936
01R,FQ,-175.423497,31.173458
01R,GQ,-174.455700,31.157994
